Query 1: SQLite=30.721582s, DuckDB=0.109652s
Query 6: SQLite=7.144978s, DuckDB=0.019898s
Query 13: SQLite=305.255240s, DuckDB=0.230184s
Query 1: SQLite=29.732521s, DuckDB=0.141734s
Query 6: SQLite=7.002949s, DuckDB=0.019366s
Query 13: SQLite=300.561814s, DuckDB=0.256653s
Query 1: SQLite=29.868466s, DuckDB=0.146184s
Query 6: SQLite=7.048634s, DuckDB=0.019205s
Query 13: SQLite=293.447800s, DuckDB=0.256882s
Query 1: SQLite=29.948050s, DuckDB=0.144393s
Query 6: SQLite=6.713555s, DuckDB=0.019547s
Query 13: SQLite=278.519658s, DuckDB=0.263497s
Query 1: SQLite=29.402630s, DuckDB=0.144580s
Query 6: SQLite=6.907589s, DuckDB=0.019325s
Query 13: SQLite=290.779782s, DuckDB=0.258981s
