Query 1: SQLite=4.951256s, DuckDB=0.028463s
Query 6: SQLite=1.139607s, DuckDB=0.005356s
Query 13: SQLite=19.458292s, DuckDB=0.048792s
Query 1: SQLite=5.039926s, DuckDB=0.033708s
Query 6: SQLite=1.097759s, DuckDB=0.005140s
Query 13: SQLite=18.660389s, DuckDB=0.051906s
Query 1: SQLite=5.137138s, DuckDB=0.033375s
Query 6: SQLite=1.132205s, DuckDB=0.005220s
Query 13: SQLite=18.625649s, DuckDB=0.051792s
Query 1: SQLite=5.105645s, DuckDB=0.033859s
Query 6: SQLite=1.105614s, DuckDB=0.004871s
Query 13: SQLite=19.232231s, DuckDB=0.053558s
Query 1: SQLite=5.179904s, DuckDB=0.033888s
Query 6: SQLite=1.142833s, DuckDB=0.004890s
Query 13: SQLite=19.343711s, DuckDB=0.051317s
